                      Index  Time                Image Size     
                      289    170.64039          20
                      290    206.65568          20
                      291    202.09122          20
                      292    154.98139          20
                      293    188.94222          20
                      294    145.29562          20
                      295    171.12396          20
                      296    203.84390          20
                      297    156.26801          20
                      298    165.48084          20
                      299    201.31299          20
                      300    218.81278          30
                      301    230.78473          30
                      302    168.25672          30
                      303    191.20152          30
                      304    170.89498          30
                      305    178.56698          30
                      306    183.20123          30
                      307    193.14916          30
                      308    174.81893          30
                      309    182.65243          30
                      310    196.29170          30
                      311    177.46156          30
                      312    183.83539          30
                      313    193.65594          30
                      314    198.95006          30
                      315    208.59828          30
                      316    222.99957          30
                      317    236.53895          30
                      318    212.48783          30
                      319    222.43945          30
                      320    234.45636          30
                      321    172.78837          30
                      322    178.54827          30
                      323    244.45704          30
                      324    177.10219          30
                      325    242.84567          30
                      326    173.62948          30
                      327    181.03215          30
                      328    191.88516          30
                      329    201.10809          30
                      330    184.27132          30
                      331    192.98667          30
                      332    213.31717          30
                      333    196.12836          30
                      334    206.22798          30
                      335    216.64281          30
                      336    229.09147          30
                      337    219.74622          30
                      338    212.64498          30
                      339    233.38710          30
                      340    219.36795          30
                      341    237.84594          30
                      342    175.54594          30
                      343    185.68951          30
                      344    194.79193          30
                      345    235.37939          30
                      346    179.81101          30
                      347    194.40892          30
                      348    170.71712          30
                      349    179.60603          30
                      350    190.60781          30
                      351    201.46068          30
                      352    182.22797          30
                      353    191.78172          30
                      354    206.97532          30
                      355    192.49437          30
                      356    210.70986          30
                      357    221.73277          30
                      358    226.28870          30
                      359    208.92758          30
                      360    221.46022          30
                      361    236.00059          30
                      362    215.64743          30
                      363    223.90920          30
                      364    230.12563          30
                      365    236.89050          30
                      366    219.94194          30
                      367    227.91769          30
                      368    243.41835          30
                      369    225.40314          30
                      370    227.15260          30
                      371    233.47963          30
                      372    167.36598          30
                      373    178.63426          30
                      374    170.37307          30
                      375    178.85721          30
                      376    206.47953          30
                      377    182.65883          30
                      378    196.99113          30
                      379    204.25602          30
                      380    211.63064          30
                      381    194.38464          30
                      382    205.86672          30
                      383    222.77146          30
                      384    194.11610          30
                      385    205.97655          30
                      386    216.75147          30
                      387    225.00773          30
                      388    208.83161          30
                      389    220.12590          30
                      390    232.63364          30
                      391    208.34355          30
                      392    225.19288          30
                      393    233.61242          30
                      394    241.43628          30
                      395    171.29390          30
                      396    178.72632          30
                      397    190.48434          30
                      398    203.27340          30
                      399    180.62597          30
                      400    189.01798          40
                      401    235.56140          40
                      402    229.64422          40
                      403    226.18991          40
                      404    217.35220          40
                      405    229.72127          40
                      406    229.20192          40
                      407    188.54786          40
                      408    260.49884          40
                      409    253.43937          40
                      410    192.05821          40
                      411    263.92889          40
                      412    224.46170          40
                      413    213.03327          40
                      414    196.98426          40
                      415    185.40015          40
                      416    251.25947          40
                      417    230.32097          40
                      418    186.59097          40
                      419    256.30730          40
                      420    241.84562          40
                      421    208.24862          40
                      422    207.49513          40
                      423    203.13202          40
                      424    238.16821          40
                      425    229.23263          40
                      426    220.69342          40
                      427    261.97598          40
                      428    260.67102          40
                      429    219.30693          40
                      430    207.00943          40
                      431    203.57537          40
                      432    199.05317          40
                      433    213.12978          40
                      434    211.84619          40
                      435    240.44994          40
                      436    231.19956          40
                      437    220.47783          40
                      438    189.70195          40
                      439    186.96211          40
                      440    253.62640          40
                      441    241.14287          40
                      442    228.80688          40
                      443    220.04831          40
                      444    227.29915          40
                      445    225.40258          40
                      446    188.60870          40
                      447    250.58262          40
                      448    237.68502          40
                      449    203.09656          40
                      450    197.29151          40
                      451    195.07495          40
                      452    231.10737          40
                      453    217.54276          40
                      454    209.43981          40
                      455    256.65081          40
                      456    221.39091          40
                      457    261.82490          40
                      458    255.22703          40
                      459    249.66720          40
                      460    214.93332          40
                      461    209.98117          40
                      462    201.60857          40
                      463    233.81262          40
                      464    221.86184          40
                      465    209.48502          40
                      466    256.02972          40
                      467    251.14866          40
                      468    206.58454          40
                      469    198.67440          40
                      470    188.64633          40
                      471    254.25965          40
                      472    218.80294          40
                      473    216.16430          40
                      474    250.50334          40
                      475    241.48983          40
                      476    232.68359          40
                      477    193.10052          40
                      478    184.55962          40
                      479    257.64436          40
                      480    239.60421          40
                      481    226.75725          40
                      482    215.39722          40
                      483    232.35504          40
                      484    223.10635          40
                      485    262.96922          40
                      486    253.13932          40
                      487    240.46358          40
                      488    200.70479          40
                      489    258.26419          40
                      490    216.08192          40
                      491    199.68964          40
                      492    262.06261          40
                      493    245.90730          40
                      494    244.41588          40
                      495    241.65986          40
                      496    202.79800          40
                      497    187.61294          40
                      498    253.30490          40
                      499    224.11382          40
                      500    216.15186          50
                      501    259.55546          50
                      502    230.71747          50
                      503    273.47226          50
                      504    236.80189          50
                      505    282.49614          50
                      506    281.91295          50
                      507    256.12933          50
                      508    269.54267          50
                      509    237.84207          50
                      510    281.01038          50
                      511    224.54830          50
                      512    271.88997          50
                      513    235.11290          50
                      514    283.50052          50
                      515    279.08151          50
                      516    257.17691          50
                      517    279.27593          50
                      518    248.96536          50
                      519    222.71152          50
                      520    220.69007          50
                      521    271.82521          50
                      522    244.25691          50
                      523    212.94611          50
                      524    267.18572          50
                      525    264.25941          50
                      526    273.99403          50
                      527    232.63088          50
                      528    283.81529          50
                      529    227.31270          50
                      530    265.75791          50
                      531    236.19497          50
                      532    281.09796          50
                      533    273.78140          50
                      534    243.21650          50
                      535    267.07357          50
                      536    235.32718          50
                      537    281.65614          50
                      538    221.27788          50
                      539    260.34919          50
                      540    222.26405          50
                      541    266.03611          50
                      542    254.99615          50
                      543    230.79134          50
                      544    239.05683          50
                      545    279.28301          50
                      546    248.20641          50
                      547    211.01623          50
                      548    255.02807          50
                      549    224.81820          50
                      550    272.29034          50
                      551    276.47820          50
                      552    221.54363          50
                      553    233.35334          50
                      554    281.12116          50
                      555    226.94435          50
                      556    274.87558          50
